@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.53117,0.45947,0.49446,0.47241,0.54061,0.45763,0.49859,0.50998,0.49618,0.47462,0.45476,0.48317,0.53244,0.53831,0.45771,0.50313,0.50990,0.49652,0.42920,0.49616,0.49541,0.85822,0.26420,0.83165,0.86937,0.32812,0.83570,0.08206,bentuk
0.53011,0.46144,0.49559,0.47278,0.54063,0.45973,0.49732,0.51125,0.49651,0.47244,0.46092,0.49400,0.53019,0.53912,0.45857,0.50480,0.51023,0.49732,0.43549,0.50048,0.50199,0.89034,0.26164,0.87617,0.90140,0.27888,0.85225,0.07599,bentuk
0.53112,0.46007,0.49546,0.47442,0.54247,0.46039,0.49965,0.50818,0.49861,0.46623,0.46009,0.49625,0.53217,0.53735,0.46043,0.50563,0.50961,0.49672,0.43407,0.49900,0.50167,0.88407,0.25724,0.85345,0.88631,0.25617,0.88776,0.07768,bentuk
0.53399,0.46026,0.49653,0.47235,0.54254,0.45530,0.50017,0.50871,0.49812,0.46306,0.45894,0.49805,0.53171,0.54076,0.45462,0.50276,0.51103,0.49790,0.42966,0.50254,0.50283,0.86986,0.26487,0.83027,0.85896,0.26041,0.80653,0.08274,bentuk
0.53136,0.45628,0.49161,0.47217,0.54027,0.45596,0.49678,0.51295,0.49701,0.46890,0.46329,0.49240,0.53308,0.53700,0.45504,0.50594,0.50861,0.49749,0.44095,0.49996,0.49999,0.91215,0.29511,0.84535,0.91864,0.30068,0.87320,0.06971,bentuk
0.52889,0.45750,0.49562,0.47568,0.54377,0.45931,0.49754,0.51275,0.49549,0.46661,0.46168,0.49555,0.53198,0.53976,0.45865,0.50544,0.50996,0.49740,0.43444,0.49980,0.50169,0.87687,0.25792,0.89762,0.88155,0.26163,0.87713,0.07721,bentuk
0.53302,0.46125,0.49672,0.47302,0.53956,0.45867,0.49827,0.51088,0.49714,0.46742,0.46155,0.49670,0.52988,0.53856,0.45818,0.50429,0.50972,0.49799,0.43143,0.50074,0.50336,0.87386,0.26089,0.85730,0.88026,0.26429,0.84190,0.08071,bentuk
0.52504,0.45200,0.48245,0.46903,0.50023,0.45249,0.48933,0.50739,0.47941,0.47552,0.45677,0.47812,0.54281,0.50215,0.44704,0.50986,0.50092,0.49170,0.46162,0.50235,0.49816,0.85336,0.52072,0.90629,0.88245,0.51126,0.96172,0.04876,gang
0.52811,0.45491,0.48307,0.46882,0.49471,0.45757,0.48506,0.50800,0.47447,0.47843,0.45430,0.47512,0.54362,0.49924,0.44878,0.50542,0.49933,0.49575,0.46069,0.49973,0.49877,0.87369,0.52466,0.88436,0.84827,0.54045,0.91405,0.04887,gang
0.52638,0.45178,0.48513,0.46636,0.49407,0.45258,0.49018,0.50501,0.48095,0.47824,0.45417,0.47659,0.54369,0.49574,0.45111,0.50934,0.50049,0.48972,0.46332,0.50351,0.49251,0.86264,0.52489,0.89263,0.85438,0.54345,0.91972,0.04629,gang
0.53548,0.44729,0.49274,0.46228,0.50820,0.44439,0.48615,0.50681,0.47975,0.47055,0.45087,0.48103,0.54264,0.50538,0.43771,0.50947,0.50347,0.49355,0.46491,0.50006,0.49807,0.90196,0.41290,0.94396,0.90526,0.48618,0.80132,0.04348,gang
