@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.13596,-0.15896,-0.01388,-0.11060,0.17016,-0.17880,0.00068,0.03484,-0.00752,-0.14776,-0.16424,-0.00780,0.12684,0.16304,-0.18152,0.01104,0.04412,-0.00840,-0.28136,0.01016,0.01132,2.73275,0.83211,2.60837,2.69850,0.81810,2.53379,0.28662,bentuk
0.12544,-0.17488,-0.03356,-0.11132,0.16108,-0.17616,-0.01288,0.05180,-0.01196,-0.12440,-0.14684,-0.03040,0.13232,0.14800,-0.17984,0.02376,0.03444,-0.01004,-0.23620,-0.00016,-0.00004,2.86560,0.92712,2.65575,2.88599,0.94461,2.74324,0.24148,bentuk
0.11556,-0.17000,-0.01752,-0.09728,0.17508,-0.16276,-0.00984,0.05100,-0.01804,-0.13356,-0.15328,-0.01780,0.12792,0.15904,-0.16540,0.02176,0.03984,-0.01040,-0.26224,-0.00080,0.00676,2.75477,0.81028,2.81996,2.76947,0.82193,2.75559,0.26746,bentuk
0.13208,-0.15500,-0.01312,-0.10792,0.15824,-0.16532,-0.00692,0.04352,-0.01144,-0.13032,-0.15380,-0.01320,0.11952,0.15424,-0.16728,0.01716,0.03888,-0.00804,-0.27428,0.00296,0.01344,2.74531,0.81961,2.69329,2.76542,0.83029,2.64491,0.27959,bentuk
0.13124,-0.15960,-0.00220,-0.07904,0.17036,-0.13728,0.00176,0.06208,-0.00360,-0.10396,-0.15696,-0.02612,0.11788,0.15472,-0.14784,0.01020,0.05952,-0.01320,-0.31320,-0.01172,-0.02968,2.72998,0.71135,2.51723,2.82508,0.84386,2.53869,0.32081,bentuk
0.09456,-0.15628,-0.04572,-0.09852,0.16836,-0.12332,-0.01508,0.06272,-0.00744,-0.08176,-0.15544,-0.05672,0.11640,0.15932,-0.12528,0.02676,0.05964,-0.01512,-0.25036,-0.00520,-0.01276,2.79407,0.85740,2.70378,2.78304,0.93569,2.78735,0.25638,bentuk
0.10332,-0.16264,-0.02172,-0.09552,0.18016,-0.13068,-0.01224,0.06104,-0.01032,-0.08832,-0.15492,-0.04036,0.12012,0.14856,-0.12932,0.01736,0.07888,-0.01728,-0.27152,-0.00160,-0.01788,2.77255,0.72825,2.74409,2.80777,0.88222,2.57296,0.27772,bentuk
0.10860,-0.15924,-0.01684,-0.09712,0.16460,-0.14380,-0.00860,0.05548,-0.01108,-0.09980,-0.15156,-0.03668,0.12592,0.15296,-0.13792,0.01436,0.05612,-0.01288,-0.27852,0.00672,-0.00744,2.80626,0.77836,2.68506,2.86121,0.86469,2.60086,0.28395,bentuk
0.10228,-0.16764,-0.06044,-0.11504,0.15748,-0.15856,-0.01436,0.05384,-0.01140,-0.10284,-0.15972,-0.05076,0.12496,0.14960,-0.16320,0.01896,0.04924,-0.00760,-0.24200,-0.00308,0.00012,2.82583,1.03041,2.66498,2.89149,1.01005,2.56844,0.24855,bentuk
0.12236,-0.16480,-0.02524,-0.10988,0.16620,-0.15060,-0.00604,0.04016,-0.00772,-0.10932,-0.15764,-0.03284,0.13880,0.15136,-0.14964,0.02064,0.03628,-0.01004,-0.25808,-0.00860,-0.00464,2.84776,0.81383,2.68041,2.87694,0.85923,2.78980,0.26390,bentuk
0.09868,-0.17672,-0.06260,-0.11152,0.16268,-0.14840,-0.00072,0.03696,-0.00560,-0.10272,-0.16272,-0.04656,0.12984,0.13888,-0.15156,0.01440,0.04000,-0.00800,-0.24748,-0.00436,-0.00164,2.76149,0.99551,2.60812,2.88006,0.97795,2.52578,0.25291,bentuk
0.11980,-0.16172,-0.03344,-0.10124,0.15900,-0.14296,-0.01388,0.05212,-0.01772,-0.09476,-0.15936,-0.03584,0.12068,0.14820,-0.14900,0.02384,0.06276,-0.02032,-0.26608,0.00180,-0.00144,2.87933,0.85740,2.83290,2.84873,0.91442,2.70997,0.27134,bentuk
0.10016,-0.19200,-0.07020,-0.12388,0.00092,-0.19004,-0.04268,0.02956,-0.08236,-0.09792,-0.17292,-0.08752,0.17124,0.00860,-0.21184,0.03944,0.00368,-0.03320,-0.15352,0.00940,-0.00736,2.68091,1.63589,2.84719,2.77230,1.60617,3.02133,0.16891,gang
0.11244,-0.18036,-0.06772,-0.12472,-0.02116,-0.16972,-0.05976,0.03200,-0.10212,-0.08628,-0.18280,-0.09952,0.17448,-0.00304,-0.20488,0.02168,-0.00268,-0.01700,-0.15724,-0.00108,-0.00492,2.74478,1.64827,2.77830,2.66492,1.69787,2.87157,0.16929,gang
0.14772,-0.19268,-0.03828,-0.13808,0.05208,-0.19804,-0.06524,0.02728,-0.08268,-0.09664,-0.16016,-0.07276,0.15532,0.01800,-0.21652,0.05796,0.00460,-0.02712,-0.14160,-0.03228,0.03192,2.85178,1.23207,3.04370,2.82225,1.56860,2.75018,0.17307,gang
